hs_code,code_format,description,duty_rate,efta,sg,usa,chapter,heading
010619409999,01.06.19.40.99.99,,,,,,1,01.06
010619500001,01.06.19.50.00.01,,,,,,1,01.06
010619500002,01.06.19.50.00.02,,,,,,1,01.06
010619500003,01.06.19.50.00.03,,,,,,1,01.06
010619500004,01.06.19.50.00.04,,,,,,1,01.06
010619500005,01.06.19.50.00.05,,,,,,1,01.06
010619500006,01.06.19.50.00.06, حيوانات حدائق ومعارض الحيوان وحيوانات مستوردة لهيئات علمية- - : لمختبرات التجارب والبحوث,,,,,1,01.06
010619509999,01.06.19.50.99.99, حيوانات حدائق ومعارض الحيوان وحيوانات مستوردة لهيئات علمية- - : لمختبرات التجارب والبحوث حيوانات حدائق,,,,,1,01.06
010619600001,01.06.19.60.00.01, حيوانات مستورده لهيئات علميه لمختبرات التجارب والبحوث,,,,,1,01.06
010619600002,01.06.19.60.00.02, حيوانات مستورده لهيئات علميه لمختبرات التجارب والبحوث,,,,,1,01.06
010619600003,01.06.19.60.00.03, : غيرها- - قطط فئران,,,,,1,01.06
010619900002,01.06.19.90.00.02,,,,,,1,01.06
010619900003,01.06.19.90.00.03,,,,,,1,01.06
010619900004,01.06.19.90.00.04,,,,,,1,01.06
010619900005,01.06.19.90.00.05,,,,,,1,01.06
010619900006,01.06.19.90.00.06,,,,,,1,01.06
010619900007,01.06.19.90.00.07,,,,,,1,01.06
010619900008,01.06.19.90.00.08,,,,,,1,01.06
010619900009,01.06.19.90.00.09,,,,,,1,01.06
010619900011,01.06.19.90.00.11,,,,,,1,01.06
010619900012,01.06.19.90.00.12,,,,,,1,01.06
010619900013,01.06.19.90.00.13,,,,,,1,01.06
010619900014,01.06.19.90.00.14,,,,,,1,01.06
010619900015,01.06.19.90.00.15,,,,,,1,01.06
010619900016,01.06.19.90.00.16,,,,,,1,01.06
010619900017,01.06.19.90.00.17,,,,,,1,01.06
010619900018,01.06.19.90.00.18,,,,,,1,01.06
010619900019,01.06.19.90.00.19,,,,,,1,01.06
010619909999,01.06.19.90.99.99,,,,,,1,01.06
010620000001,01.06.20.00.00.01,,,,,,1,01.06
010620000002,01.06.20.00.00.02,,,,,,1,01.06
010620000003,01.06.20.00.00.03,,,,,,1,01.06
010620000004,01.06.20.00.00.04,,,,,,1,01.06
010620000005,01.06.20.00.00.05,,,,,,1,01.06
010620000006,01.06.20.00.00.06, A,,,,,1,01.06
010620009999,01.06.20.00.99.99, A,,,,,1,01.06
010639100001,01.06.39.10.00.01,,,,,,1,05.04
010639100003,01.06.39.10.00.03,,,,,,1,05.04
010639100005,01.06.39.10.00.05,,,,,,1,05.04
010639100008,01.06.39.10.00.08,,,,,,1,05.04
010639100009,01.06.39.10.00.09,,,,,,1,05.04
010639100010,01.06.39.10.00.10,,,,,,1,05.04
010639100011,01.06.39.10.00.11,,,,,,1,05.04
010639100012,01.06.39.10.00.12,,,,,,1,05.04
010639100013,01.06.39.10.00.13,,,,,,1,05.04
010639100014,01.06.39.10.00.14,,,,,,1,05.04
010639200000,01.06.39.20.00.00,,,,,,1,05.04
010639900001,01.06.39.90.00.01,,,,,,1,05.04
010639909999,01.06.39.90.99.99,,,,,,1,05.04
010641000000,01.06.41.00.00.00,,,,,,1,05.04
010649000001,01.06.49.00.00.01,,,,,,1,05.04
010649000002,01.06.49.00.00.02,,,,,,1,05.04
010649000004,01.06.49.00.00.04,,,,,,1,05.04
010649009999,01.06.49.00.99.99, : مالحظة,,,,,1,05.04
010690000000,01.06.90.00.00.00, : مالحظة : اليشمل هذا الفصل-1,,,,,1,05.04
020110000001,02.01.10.00.00.01,,,,,,1,02.09
020110000002,02.01.10.00.00.02,,,,,,1,02.09
020110000003,02.01.10.00.00.03,,,,,,1,02.09
020110000004,02.01.10.00.00.04, 02.02,,,,,1,02.09
020120000000,02.01.20.00.00.00, 02.02,,,,,1,02.09
020130000000,02.01.30.00.00.00, 02.02,,,,,1,02.09
020210000001,02.02.10.00.00.01,,,,,,1,02.02
020210000002,02.02.10.00.00.02,,,,,,1,02.02
020220000000,02.02.20.00.00.00, 02.03,,,,,1,02.02
020230100000,02.02.30.10.00.00, 02.03,,,,,1,02.02
020230900000,02.02.30.90.00.00, 02.03,,,,,1,02.02
020311000000,02.03.11.00.00.00, غيرها- : مجمدة ذبائح كاملة وأنصاف ذبائح- -,,,,,1,02.03
020312000000,02.03.12.00.00.00, غيرها- : مجمدة ذبائح كاملة وأنصاف ذبائح- -,,,,,1,02.03
020319000000,02.03.19.00.00.00, بعظمها، أفخاذ وأكتاف وقطعها- -,,,,,1,02.03
020322000000,02.03.22.00.00.00, غيرها- -,,,,,1,02.03
020329000000,02.03.29.00.00.00, . طازجة أو مبردة أو مجمدة،لحوم فصيلة الضأن أو الماعز,,,,,1,02.03
010632100000,01.06.32.10.00.00,,,,,,1,02.01
010632200000,01.06.32.20.00.00,,,,,,1,02.01
010632300000,01.06.32.30.00.00,,,,,,1,02.01
010632400000,01.06.32.40.00.00,,,,,,1,02.01
010632500000,01.06.32.50.00.00,,,,,,1,02.01
010632600000,01.06.32.60.00.00,,,,,,1,02.01
010632900000,01.06.32.90.00.00, ، قطا، شنقب، دجاج األرض، سماني، تدرج، حجل، حمام بري، حمام أليف- - : بط بري،أرطالن,,,,,1,02.01
010633000000,01.06.33.00.00.00, ، قطا، شنقب، دجاج األرض، سماني، تدرج، حجل، حمام بري، حمام أليف- - : بط بري،أرطالن,,,,,1,02.01
010631000001,01.06.31.00.00.01,,,,,,15,02.01
010631000002,01.06.31.00.00.02, : ) ببغاوات ( بما فيها الببغاوات العادية والباراكيت والمكاو والكوكاتو- -,,,,,15,02.01
010631009999,01.06.31.00.99.99, : ) ببغاوات ( بما فيها الببغاوات العادية والباراكيت والمكاو والكوكاتو- -,,,,,15,02.01
020321000000,02.03.21.00.00.00, 02.04,,,,,2,02.01
020410000001,02.04.10.00.00.01,,,,,,2,02.04
020410000002,02.04.10.00.00.02,,,,,,2,02.04
020410000003,02.04.10.00.00.03,,,,,,2,02.04
020410000004,02.04.10.00.00.04,,,,,,2,02.04
020421000001,02.04.21.00.00.01,,,,,,2,02.04
020421000002,02.04.21.00.00.02,,,,,,2,02.04
020421000003,02.04.21.00.00.03,,,,,,2,02.04
020421000004,02.04.21.00.00.04,,,,,,2,02.04
